inicio,fim,diff
730789,730796,1583.0
730787,730788,97.0
730783,730784,321.0
730781,730782,-57.0
730777,730780,686.0
730774,730776,-181.0
730767,730773,1230.0
730766,730766,-25.0
730763,730763,129.0
730759,730762,217.0
730755,730756,633.0
730753,730754,89.0
730752,730752,80.0
730748,730749,102.0
730745,730747,714.0
730741,730742,593.0
730740,730740,340.0
730727,730738,540.0
730725,730726,50.0
730724,730724,-4.0
730721,730721,252.0
730720,730720,-210.0
730719,730719,45.0
730718,730718,-230.0
730717,730717,71.0
730712,730714,-111.0
730711,730711,59.0
730710,730710,-143.0
730707,730707,79.0
730705,730706,30.0
730703,730703,191.0
730700,730700,-2.0
730699,730699,77.0
730698,730698,-14.0
730697,730697,51.0
730696,730696,-244.0
730693,730693,85.0
730692,730692,-153.0
730691,730691,218.0
730689,730690,-271.0
730686,730686,326.0
730684,730685,347.0
730683,730683,356.0
730682,730682,-270.0
730677,730679,579.0
730668,730676,327.0
730664,730665,218.0
730658,730663,222.0
730655,730657,490.0
730651,730654,-226.0
730649,730649,228.0
730644,730648,105.0
730643,730643,145.0
730642,730642,-64.0
730634,730641,1050.0
730627,730633,808.0
730620,730626,903.0
730616,730619,257.0
730614,730615,259.0
730609,730613,163.0
730607,730608,256.0
730605,730605,-26.0
730598,730602,1163.0
730594,730595,-187.0
730593,730593,610.0
730591,730592,423.0
730587,730587,158.0
730586,730586,-238.0
730579,730585,1303.0
730577,730578,209.0
730574,730574,146.0
730572,730573,-151.0
730567,730571,736.0
730565,730566,-719.0
730564,730564,49.0
730563,730563,-413.0
730560,730560,161.0
730558,730559,147.0
730557,730557,48.0
730552,730556,-314.0
730551,730551,66.0
730549,730550,-166.0
730545,730546,684.0
730544,730544,-267.0
730538,730539,544.0
730531,730537,901.0
730529,730530,216.0
730525,730528,-127.0
730524,730524,429.0
730523,730523,-191.0
730522,730522,273.0
730514,730521,794.0
730511,730511,113.0
730509,730509,-77.0
730508,730508,451.0
730507,730507,-156.0
730502,730504,765.0
730501,730501,-252.0
730500,730500,105.0
730497,730497,-184.0
730496,730496,116.0
730495,730495,-45.0
730493,730494,574.0
